2025-07-26 21:22:22 - trafficanalyzer.py - INFO - TrafficAnalyzer initialized for interface: wlan0
2025-07-26 21:22:22 - trafficanalyzer.py - INFO - Sniffing thread started on interface: wlan0
2025-07-26 21:22:22 - trafficanalyzer.py - INFO - Traffic analysis started.
2025-07-26 21:22:22 - trafficanalyzer.py - ERROR - An error occurred during sniffing: Interface 'wlan0' not found !
2025-07-26 21:22:22 - trafficanalyzer.py - INFO - Sniffing thread stopped.
2025-07-26 21:22:32 - trafficanalyzer.py - WARNING - Traffic analysis is not running.
2025-07-26 21:22:48 - trafficanalyzer.py - INFO - TrafficAnalyzer initialized for interface: default
2025-07-26 21:22:48 - trafficanalyzer.py - INFO - Sniffing thread started on interface: auto
2025-07-26 21:22:48 - trafficanalyzer.py - INFO - Traffic analysis started.
2025-07-26 21:22:48 - trafficanalyzer.py - INFO - Sniffing thread stopped.
2025-07-26 21:22:58 - trafficanalyzer.py - WARNING - Traffic analysis is not running.
2025-07-26 22:04:09 - trafficanalyzer.py - INFO - TrafficAnalyzer initialized for interface: default
2025-07-26 22:04:09 - trafficanalyzer.py - INFO - Sniffing thread started on interface: auto
2025-07-26 22:04:09 - trafficanalyzer.py - INFO - Traffic analysis started.
2025-07-27 21:42:27 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616547.935628, 'sender_ip': '192.168.0.25', 'sender_mac': 'c8:15:4e:42:1f:44', 'target_ip': '169.254.169.254'}
2025-07-27 21:42:28 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616548.8625503, 'sender_ip': '192.168.0.25', 'sender_mac': 'c8:15:4e:42:1f:44', 'target_ip': '169.254.169.254'}
2025-07-27 21:42:29 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616549.0079627, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.175'}
2025-07-27 21:42:29 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616549.8661187, 'sender_ip': '192.168.0.25', 'sender_mac': 'c8:15:4e:42:1f:44', 'target_ip': '169.254.169.254'}
2025-07-27 21:42:32 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616552.387634, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.181'}
2025-07-27 21:42:35 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616555.356309, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.50'}
2025-07-27 21:46:23 - trafficanalyzer.py - INFO - TrafficAnalyzer initialized for interface: default
2025-07-27 21:46:23 - trafficanalyzer.py - INFO - Sniffing thread started on interface: auto
2025-07-27 21:46:23 - trafficanalyzer.py - INFO - Traffic analysis started.
2025-07-27 21:46:40 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616800.7097933, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.25'}
2025-07-27 21:46:53 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616813.3052797, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.14'}
2025-07-27 21:46:55 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616815.3492196, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.175'}
2025-07-27 21:46:57 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616817.8391824, 'sender_ip': '192.168.0.25', 'sender_mac': 'c8:15:4e:42:1f:44', 'target_ip': '169.254.169.254'}
2025-07-27 21:46:58 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616818.368762, 'sender_ip': '192.168.0.25', 'sender_mac': 'c8:15:4e:42:1f:44', 'target_ip': '169.254.169.254'}
